amount_tsh,basin,population,public_meeting,scheme_management,permit,extraction_type_class,management_group,payment_type,quality_group,quantity_group,source_class,waterpoint_type_group,status_group,age
1000.0,Lake Nyasa,109.0,True,VWC,False,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,21.0
25.0,Pangani,250.0,True,VWC,True,gravity,user-group,per bucket,good,enough,surface,communal standpipe,functional,11.0
0.0,Ruvuma / Southern Coast,58.0,True,VWC,True,submersible,user-group,never pay,good,dry,groundwater,communal standpipe,non functional,34.0
20.0,Pangani,1.0,True,VWC,True,submersible,user-group,per bucket,salty,enough,unknown,communal standpipe,functional,11.0
0.0,Wami / Ruvu,345.0,True,Private operator,False,submersible,commercial,never pay,salty,enough,groundwater,other,functional,9.0
200.0,Lake Nyasa,250.0,True,WUG,False,handpump,user-group,on failure,good,insufficient,groundwater,hand pump,functional,33.0
0.0,Pangani,1.0,True,Water Board,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,11.0
0.0,Lake Tanganyika,200.0,True,VWC,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,29.0
500.0,Rufiji,35.0,True,WUA,True,gravity,user-group,monthly,good,dry,surface,communal standpipe,non functional,42.0
0.0,Rufiji,50.0,True,WUA,True,gravity,user-group,on failure,good,dry,surface,communal standpipe,non functional,42.0
500.0,Lake Nyasa,1.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,28.0
200.0,Lake Nyasa,4.0,True,VWC,False,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Rufiji,350.0,True,WUA,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional,42.0
500.0,Pangani,210.0,True,Water authority,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,functional,9.0
0.0,Lake Tanganyika,156.0,False,VWC,True,gravity,user-group,unknown,good,enough,groundwater,improved spring,functional,11.0
0.0,Pangani,140.0,True,VWC,True,gravity,user-group,unknown,good,enough,groundwater,communal standpipe,non functional,46.0
500.0,Ruvuma / Southern Coast,260.0,False,VWC,False,handpump,user-group,monthly,good,enough,groundwater,hand pump,functional,9.0
0.0,Pangani,1.0,True,Company,True,gravity,commercial,monthly,good,insufficient,groundwater,communal standpipe,non functional,20.0
0.0,Pangani,1.0,True,Water Board,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,18.0
50.0,Wami / Ruvu,150.0,False,WUA,True,submersible,commercial,per bucket,good,enough,surface,communal standpipe,functional,16.0
0.0,Pangani,180.0,False,Other,True,gravity,other,never pay,good,insufficient,surface,other,non functional,48.0
0.0,Lake Nyasa,70.0,True,VWC,False,gravity,user-group,on failure,good,seasonal,groundwater,communal standpipe,functional,28.0
1000.0,Rufiji,100.0,True,VWC,True,gravity,user-group,annually,good,enough,surface,communal standpipe,functional,17.0
0.0,Lake Tanganyika,230.0,True,VWC,False,handpump,user-group,unknown,good,seasonal,groundwater,hand pump,non functional,18.0
25.0,Pangani,50.0,True,Water Board,True,submersible,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,12.0
500.0,Lake Nyasa,0.0,True,VWC,False,gravity,user-group,on failure,good,enough,groundwater,communal standpipe,functional,34.0
500.0,Rufiji,250.0,True,WUG,True,gravity,user-group,monthly,good,enough,groundwater,communal standpipe,functional,9.0
20.0,Pangani,100.0,True,VWC,True,gravity,user-group,per bucket,good,insufficient,groundwater,communal standpipe,non functional,20.0
20.0,Ruvuma / Southern Coast,30.0,True,VWC,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,non functional,16.0
1000.0,Rufiji,70.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,17.0
1000.0,Rufiji,20.0,True,VWC,True,gravity,user-group,annually,good,enough,groundwater,communal standpipe,functional,13.0
20.0,Pangani,10.0,True,Water authority,True,gravity,commercial,per bucket,good,insufficient,groundwater,communal standpipe,functional,12.0
0.0,Lake Rukwa,200.0,True,VWC,True,gravity,user-group,never pay,good,dry,surface,communal standpipe,non functional,47.0
20.0,Pangani,1.0,True,Water authority,True,gravity,commercial,per bucket,good,insufficient,groundwater,communal standpipe,non functional,12.0
6.0,Pangani,45.0,True,Water Board,True,gravity,user-group,per bucket,good,enough,groundwater,communal standpipe,functional,12.0
0.0,Pangani,150.0,True,VWC,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional,11.0
0.0,Pangani,200.0,True,VWC,False,gravity,user-group,never pay,good,seasonal,groundwater,communal standpipe,functional,21.0
0.0,Pangani,1.0,True,VWC,True,other,user-group,never pay,good,enough,groundwater,other,non functional,28.0
500.0,Lake Tanganyika,567.0,True,VWC,True,gravity,user-group,monthly,good,enough,surface,communal standpipe,non functional,35.0
0.0,Pangani,130.0,True,VWC,True,gravity,user-group,unknown,good,insufficient,surface,communal standpipe,non functional,18.0
0.0,Internal,225.0,True,WUG,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional,16.0
0.0,Rufiji,50.0,True,Private operator,True,rope pump,commercial,never pay,good,enough,groundwater,hand pump,functional,10.0
0.0,Rufiji,54.0,True,WUA,True,gravity,user-group,on failure,good,dry,surface,communal standpipe,non functional,42.0
0.0,Lake Tanganyika,1.0,True,Water authority,False,other,commercial,never pay,good,dry,surface,communal standpipe,non functional,16.0
